department,id,alter_id,name,credit,teacher2,capacity,capacity_graduate,time,restrict,character,grade,second_choose,exprement,retry,choose_or_not,group
环境学院,00050021,90,工业生态学,1,石磊,100,0,4-6(前八周),,文化素质核心课,,否,,否,,科技与…
环境学院,00050061,90,全球性的持久性有机污染物,1,余刚,20,0,5-6(前八周),,专题研讨课,,否,,否,,
环境学院,00050071,90,环境保护与可持续发展,1,钱易,400,0,2-6(前八周),,文化素质核心课,,否,,否,,科技与…
环境学院,00050083,90,基础地质学,3,王洪涛,125,0,3-6(全周),,文化素质课,,否,,否,,数学与…
环境学院,00050101,0,水中污染物快速检测生物传感器,1,周小红,30,0,1-3(前八周),,,2016.0,否,,否,,
环境学院,00050161,90,环境与化学,1,余刚,20,0,4-6(前八周),限:2018…,新生研讨课(大类),2018.0,否,,否,是,
环境学院,00050171,90,固体废物：中国问题与全球视角,1,王洪涛,20,0,4-6(前八周),限:2018…,新生研讨课(大类),2018.0,否,,否,是,
环境学院,00050181,90,环境物联网与大数据,1,吴烨,20,0,1-6(前八周),限:2018…,新生研讨课(大类),2018.0,否,,否,是,
环境学院,00050191,90,土壤与环境安全,1,李广贺,20,0,1-6(前八周),限:2018…,新生研讨课(大类),2018.0,否,,否,是,
环境学院,00050201,90,环境与健康,1,王书肖,20,0,4-6(前八周),限:2018…,新生研讨课(大类),2018.0,否,,否,是,
环境学院,00050211,90,环境危机与生态重建,1,王慧,20,0,2-6(前八周),限:2018…,新生研讨课(大类),2018.0,否,,否,是,
环境学院,00050222,90,生态文明十五讲,2,钱易,150,0,1-3(全周),,文化素质课,,否,,否,,科技与…
环境学院,00050231,90,走进新能源与环境催化,1,李俊华,20,0,1-6(前八周),限:2018…,新生研讨课(大类),2018.0,否,,否,是,
机械系,00120112,90,生物材料工程与器件,2,张婷,40,0,4-6(全周),,,,否,实验信息,否,,
机械系,00120203,90,集成化CAD/CAM,3,王辉,60,0,2-6(全周),,,,否,实验信息,否,,
机械系,00120222,90,表面工程基础,2,邵天敏,20,0,3-6(1-11周),,,,否,实验信息,否,,
机械系,00120242,0,机械的奥秘,2,赵乾,120,0,1-3(全周),限:2018…,实验课;  实践课;,2018.0,否,实验信息,否,是,
精仪系,00130172,90,误差理论与数据处理,2,尉昊赟,40,0,3-6(全周),,,2016.0,否,,否,,
精仪系,00130291,90,微米纳米技术与仪器,1,叶雄英,16,0,2-6(前八周),限:2018…,新生研讨课,,否,,否,是,
精仪系,00130302,0,嵌入式系统设计与实践,2,周斌,40,0,3-1(全周),要求掌…,,2016.0,否,实验信息,否,,
精仪系,00130362,90,微米纳米尺度的世界,2,李鹏,14,0,3-6(全周),,,,否,实验信息,否,,
精仪系,00130372,90,机器学习与类脑智能,2,李国齐,40,0,4-6(全周),,外文教材，中文为主进行授课(双语课),,否,,否,,
精仪系,00130382,90,生物分子体外检测技术原理,2,荆高山,50,0,2-6(全周),,外文教材，中文为主进行授课(双语课),,否,,否,,
精仪系,00130392,91,测控技术与仪器专业认知实践,2,王波,16,0,4-6(全周),,实验课;  实践课;,2018.0,否,实验信息,否,,
精仪系,00130392,92,测控技术与仪器专业认知实践,2,罗川,16,0,4-6(全周),,实验课;  实践课;,2018.0,否,实验信息,否,,
精仪系,00130392,93,测控技术与仪器专业认知实践,2,肖起榕,16,0,4-6(全周),,实验课;  实践课;,2018.0,否,实验信息,否,,
精仪系,00130402,90,先进光电子系统与器件,2,肖起榕,30,0,3-6(全周),,,,否,实验信息,否,,
精仪系,00130411,90,纳米制造,1,孙洪波,30,0,2-6(前八周),限:2018…,新生研讨课,,否,,否,是,
精仪系,00130422,90,石墨烯纳米技术,2,李鹏,12,0,4-6(全周),,,,否,实验信息,否,,
能动系,00140041,90,能源与可持续发展,1,蔡宁生,15,0,3-6(后八周),限:2018…,新生研讨课,,否,,否,是,
汽车系,00150011,90,现代道路交通与安全,1,周青,25,0,2-6(前八周),限:2018…,外文授课比例≥50%(双语课);  新生研讨课;  文化素质课;,,否,,否,是,
汽车系,00150051,90,智能化汽车,1,李升波,20,0,5-6(前八周),限:2018…,新生研讨课;  文化素质课;,,否,,否,是,
汽车系,00150062,90,汽车构造(1),2,黄开胜,40,0,2-6(全周),,,,否,实验信息,否,,
汽车系,00150092,0,产品创造系统工程学,2,ZHAO F…,40,20,"2-4(单周),2-3(单周)",,文化素质课,2016.0,否,,否,,数学与…
汽车系,00150123,0,赛车工程(1),3,田光宇,20,0,2-6(全周),,,2016.0,否,实验信息,否,,
汽车系,00150132,90,车用能源概论,2,郝瀚,20,0,"2-4(前八周),2-3(前八周)",,,,否,,否,,
汽车系,00150151,90,汽车文化,1,马骁,30,0,4-6(前八周),,文化素质课,,否,,否,,科技与…
电机系,00220012,90,高档单片机原理及应用,2,胡军,30,0,5-4(全周),,,,否,实验信息,否,,
电机系,00220033,90,计算机网络技术基础,3,余占清,60,0,4-6(全周),,,,是,实验信息,否,,
电机系,00220132,0,可编程控制器及变频器系统,2,于庆广,32,0,1-4(全周),,,2016.0,否,实验信息,否,,
电子系,00230101,90,集成电路简史,1,杨华中,15,0,3-6(前八周),限:2018…,新生研讨课,,否,,否,是,
电子系,00230112,90,设计互联网,2,李星,15,0,2-3(全周),限:2018…,新生研讨课,,否,,否,是,
电子系,00230171,90,电子工程的物理基础—材料与器件,1,罗毅,20,0,3-6(前八周),限:2018…,新生研讨课,,否,,否,是,
计算机系,00240013,90,计算机辅助设计技术基础,3,孙延奎,55,0,4-6(全周),,,,否,实验信息,否,,
计算机系,00240042,90,人工智能导论,2,李建民,100,0,3-6(全周),优先:计…,,,否,,否,,
计算机系,00240074,91,数据结构,4,马昱春,95,0,"2-6(全周),4-6(全周)",优先:计…,,,否,,否,,
